Ga0453666,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,7
Ga0453666,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453666,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0453914,CryptCCR,3
Ga0453914,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
Ga0453914,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,4
Ga0453914,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453966,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,3
Ga0453966,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453966,StramhfCCR|mgCCR1|Freshwater_D,1
Ga0497452,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,1
Ga0497459,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,1
HaHula1,CryptCCR,11
HaHula1,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,2
HaHula1,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,4
HaHula1,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,5
HaHula1,StramhfCCR|mgCCR1|Freshwater_D,8
